🇹🇼台灣頻道,#genre#
民视第一,https://4gtvmobile-mozai.4gtv.tv/upovlPiD0TYdYjq7AzQEqUxCP5uDnOOe3qLiaKhxHgE%3d/index.m3u8?token=ofcizCtWpas0m5SugYyEyQ&expires=1765713844&token1=8NGfHunyCrhNNYwyy0AjCg&expires1=1765713844&refer=MmMwZjE2ZTAtYjk1Yi00ZTI3LTgyM2YtMmY1ZDNkZDc4NmI1&y=0
民视电视台,https://4gtvmobile-mozai.4gtv.tv/_b9MTrkAAcYkb7UkkRa5gkm_26fFTjoyG_N63izGxL4%3d/index.m3u8?token=sUpQoiAZVvp4UYRjh4Rgkw&expires=1765713878&token1=0L1FzCIiBBy3bZeBcBWXHA&expires1=1765713878&refer=YjlhYTYwY2EtYWNhZi00ZmJkLTliY2EtMmY1ZjMwMmY1MjVj&y=0
民视新闻,https://4gtvmobile-mozai.4gtv.tv/7Q4V_k8X7xdKNeumToVW4nMFUn9LW1VAze2aqQPUWG8%3d/index.m3u8?token=Ib1oo1MrHiV1YDpToNWLag&expires=1765714195&token1=W8TGc7DRWhNxW8wsGrX13w&expires1=1765714195&refer=MzM1MmZjZmItZDIzNi00N2E5LWIxNjItNzlhZjM0MWViMTQ4&y=0
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视台湾,https://4gtvmobile-mozai.4gtv.tv/-QFBNkDX8SDzOblH4IoewcJ4IXxghOhm1VaMrNDZ9AA%3d/index.m3u8?token=VrEfeY7_AgmHdOIXCjN3vQ&expires=1765713861&token1=jnRjjhBxxhCvXMDAvrgBiw&expires1=1765713861&refer=YjY0MjdlNDYtYzhhMS00OGQ0LTk4ZmYtMjliY2Y0ZWNlZDY2&y=0
民视影剧,https://4gtvmobile-mozai.4gtv.tv/bVVNQwoS2lfiVBj2QB4ifpVnNB-s-RgX00mjpXisolM%3d/index.m3u8?token=5UX28pgQO3UFHyn1VNoqog&expires=1765714587&token1=POt2IinimjxyGOw0yS8aGQ&expires1=1765714587&refer=ZjU1NzIzOTAtYWExZS00NzljLWFkZDQtYzY1NDA4MzlkYjAy&y=0
民视旅游,https://4gtvmobile-mozai.4gtv.tv/UfoCmR9lDkHMZhACckMEaZt6zDpKDpzLt778Z35dM1w%3d/index.m3u8?token=3YDKjQUmfq78Xa5wr6Ca-Q&expires=1765714504&token1=Gz2-uL4fG0snd1gDotqQzQ&expires1=1765714504&refer=Y2ZmZTVhYmMtODcwOS00YTQwLThmY2QtZjNiMDA3MTI0ODU2&y=0
民视综艺,https://4gtvmobile-mozai.4gtv.tv/yB6WCBIjVHOCM4dh6decYgxLn6FG6dNc98GTm4otc-M%3d/index.m3u8?token=JFQ4g3unN1xZbSWixyZorA&expires=1765714331&token1=nQy_MvxWKp4OD7148_tdfg&expires1=1765714331&refer=MTg5OTIyYmYtZWQzOS00YjFlLThlMDAtZjgzYTNjNmYzMjk0&y=0
中视,https://4gtvmobile-mozai.4gtv.tv/F0J3q1Exle_8foQeF9I1tGa5x_LHu2tGQpTuIBIa-wg%3d/index.m3u8?token=bGG8bDjQQ_HpNsESB5vfvQ&expires=1765713894&token1=fQn3IE3_mjYdDWwGMIEyGQ&expires1=1765713894&refer=ZmZiMjQ2NzUtZDA1Yi00NDljLTg4ZGMtOWYwODlmMjBkN2Mx&y=0
中视,http://fbd48279.ott.oxtvs.com/ott/?q=9222549520c295e029ec6ff9d9f66695&id=5005
中视新闻,https://4gtvmobile-mozai.4gtv.tv/gsitMfsQ7soV_8BBfjWY-wAAINGCeUfAdasZsurk2Uc%3d/index.m3u8?token=JcFcMZqKyhhulJUUc2kudA&expires=1765714230&token1=0id0sQCEGb8xUsC7FgNdwA&expires1=1765714230&refer=NGI5NDZkNjYtYmM0Yy00MmZjLWE5ZjItMDE5Zjg3NmE3YmYx&y=0
