🇹🇼台灣頻道,#genre#
民视第一,https://4gtvmobile-mozai.4gtv.tv/C5vvO0UbZBp8S-HAgsVp22ivoYnFwUvRle_shz9LtvI%3d/index.m3u8?token=TDFdUfODxikWuJv-VE_mAA&expires=1765109005&token1=7ocyDn1DZlj-I8nX6s6IUg&expires1=1765109005&refer=YjQyZTcxODAtMzdkMi00ZjNlLWJmYzgtZjkzNTZjNzkzMTU0&y=0
民视电视台,https://4gtvmobile-mozai.4gtv.tv/gJPAhKS25HFwlp6R8DirLEanduqpyOd8JX-uuTiAv5M%3d/index.m3u8?token=rbrCMBHw4mtSSU3QNyjT4g&expires=1765109029&token1=-oWpdYEzVYfL2-jE8gKv8Q&expires1=1765109029&refer=ZWQ4NTdiOTQtZjYzZC00N2M0LTllMDctN2U2OTMwMzc2MWQ0&y=0
民视新闻,https://4gtvmobile-mozai.4gtv.tv/GdQgOKOavUav2FvlsVtTxKwVfWr-oDK1aImueEDbTR8%3d/index.m3u8?token=MNeOqnHzo1KEFkMZClEcAA&expires=1765109272&token1=wPVmO6HDZ6Iuegq7Tb7LZA&expires1=1765109272&refer=ZTM5ZWQxMGQtNzcyNi00YzljLWJjNDAtOTFkYjI3YmI5NjEx&y=0
民视新闻,http://38.64.72.148/hls/modn/list/4012/chunklist1.m3u8
民视新闻,http://38.64.72.148:80/hls/modn/list/4012/chunklist1.m3u8
民视台湾,https://4gtvmobile-mozai.4gtv.tv/0jvNAFA3oikKV61mQbYj4Pp23CkeZB4gKcEdz1Cx1mU%3d/index.m3u8?token=dYak43aQJ8a4d5Clh0mFDA&expires=1765109021&token1=InSSdFM2r4HaDK7Bbddkaw&expires1=1765109021&refer=OWE3NzQxNDctNDc4ZS00ZWE5LThiOTAtZmNmYTllNzNkZGM1&y=0
民视影剧,https://4gtvmobile-mozai.4gtv.tv/-yalBBInl1Ql00S_UgilwA7GSyCHTt5B5fqZ6L48oMc%3d/index.m3u8?token=taLSG3S2JxCQIFSEOTDX7g&expires=1765109640&token1=B3IrcKsFzfvpoY7YAlYytg&expires1=1765109640&refer=NDllYjNkMDgtNzRlNi00NDdhLTk5OTgtYzljZWUxMDQxMmJm&y=0
民视旅游,https://4gtvmobile-mozai.4gtv.tv/rgrXA2pIr2LK552hL2U--p6VULz54DPyfp-MiFZMmS8%3d/index.m3u8?token=8mMp7KptChRCN2Z4QdXZcg&expires=1765109545&token1=-whBRvVFwWwrmepD7DUbqg&expires1=1765109545&refer=MjdjMDY2MzUtNWVkMy00ZjdmLTk3NjctOWE5ZGM5NDZkZWVh&y=0
民视综艺,https://4gtvmobile-mozai.4gtv.tv/No8aRBQ3e0gJiMKWI6tsEIgt2LhUmEjOczdrNq6ch28%3d/index.m3u8?token=1joNNdtfUmCIEoNC5-n16A&expires=1765109364&token1=GqzgdfogcdHiNpvfhCRH2Q&expires1=1765109364&refer=Zjc5MzE1ZGItZDQwYS00MmM2LWJjMjAtODNiZmQ2MTg2ZDg5&y=0
中视,https://4gtvmobile-mozai.4gtv.tv/AtVysuhKGCqpohkQVAUoznNN6IFT1UwD2w5dWkO5Clc%3d/index.m3u8?token=NdMndBPLhvM9TXPZm2IRkQ&expires=1765109044&token1=AG_8diKbATWm5zXyvbTaDQ&expires1=1765109044&refer=Y2M3OGVmNGMtNjczZi00NzZmLWI2ZDUtZjY5NDFlOGYwOTli&y=0
中视新闻,https://4gtvmobile-mozai.4gtv.tv/5bkMyk6x5xriW3QfJU69-DUICxdqnz1qZ7p8S_Ptd5M%3d/index.m3u8?token=WPw_vpDS3jwbEzbK3NrdIQ&expires=1765109303&token1=mR87xBoYwoxH0bJyvJ-_NA&expires1=1765109303&refer=MGExNzM5ZjktYTBlZi00MTBiLTllNTQtZGZkZjk2ZDljZWYy&y=0
中视经典,https://4gtvmobile-mozai.4gtv.tv/U82PLmmDLT-6Gnz72HX85jh7VxNdeEPEGRcjgTXMhNs%3d/index.m3u8?token=hK_x9a-PWARlYOyt5vy-OA&expires=1765109052&token1=PFt4wMRjFj1WYwrycAUaXw&expires1=1765109052&refer=MzJhYWU1MWEtMDAzZC00NzE5LWFkMjItMWEzNTlhMTc4ZGM3&y=0
中视菁采,https://4gtvmobile-mozai.4gtv.tv/ShFk1L-9NH4noIPOpXk4o-p6Skts0OCAQKwwyl9J9ls%3d/index.m3u8?token=O0W7Xp9NfxuCiRFQPgiGoA&expires=1765109094&token1=E6YiqEu7cEe8mRqRfB_4xg&expires1=1765109094&refer=ZTMwMDc5Y2MtY2NlZS00ZDk2LTkxYTctM2YzZWY0OWIxMGFm&y=0
中天新闻,http://cdn.iptv8k.top/dl/jspd.php?id=1
中天新闻,https://4gtvmobile-mozai.4gtv.tv/9wwQ59Uxy9lvGWk_0d3RnIKwt_TSX_Nq5gdOucHlqBE%3d/index.m3u8?token=5BbsgU0JMmJLUK-n18vmAw&expires=1765109310&token1=ZiJxKmGlHnvXmCsLUNzS7Q&expires1=1765109310&refer=NDFkZDUzMmUtZmI1Yi00MmZkLWJjOGItNzU0OGY4NzA3YzEw&y=0
华视,rtmp://f13h.mine.nu:1935/sat/tv111
华视,https://4gtvmobile-mozai.4gtv.tv/VTrikbsJIINt4xxeKFEcPtx_FOlOvYtrNBKG_q-0jf4%3d/index.m3u8?token=fNhRNKmiJnFR5dN6jnugbg&expires=1765109062&token1=mPQou3hANaYkWonA1qIAbw&expires1=1765109062&refer=Mjc3MmY4YTMtYjFkNi00YWM0LTkxM2QtMTZmZDlhOTljYjll&y=0
华视新闻资讯,https://4gtvmobile-mozai.4gtv.tv/7flSxvgxlt2Fkq5855dWGwPV_UYHpWFIKya6pVgN-qg%3d/index.m3u8?token=nYSwPcQ-w6PuANwdIMZ8UA&expires=1765109264&token1=Ha6bYTN01sndhdWe6zoozA&expires1=1765109264&refer=ODRkYjFiNTAtOWZkZS00YWZiLTg3NWYtYmNiYzhmZDFjNzdk&y=0
